Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid Swasta,Tahun Ajaran
Susukan, 49 , - , 352 , - ," 5,469 ", - ,2018/2019
Purwareja Klampok, 31 , 3 , 211 , 44 ," 3,012 ", 729 ,2018/2019
Mandiraja, 46 , - , 291 , - ," 5,180 ", - ,2018/2019
Purwanegara, 48 , 1 , 318 , 10 ," 5,646 ", 174 ,2018/2019
Bawang, 36 , - , 254 , - ," 3,766 ", - ,2018/2019
Banjarnegara, 29 , 6 , 256 , 61 ," 5,157 "," 1,239 ",2018/2019
Pagedongan, 22 , - , 127 , - ," 2,530 ", - ,2018/2019
Sigaluh, 23 , - , 168 , - ," 2,632 ", - ,2018/2019
Madukara, 28 , 1 , 209 , 47 ," 3,015 ", 739 ,2018/2019
Banjarmangu, 29 , - , 196 , - ," 2,983 ", - ,2018/2019
Wanadadi, 23 , 1 , 182 , 11 ," 2,113 ", 228 ,2018/2019
Rakit, 34 , - , 257 , - ," 2,852 ", - ,2018/2019
Punggelan, 43 , - , 355 , - ," 5,388 ", - ,2018/2019
Karangkobar, 27 , - , 166 , - ," 2,854 ", - ,2018/2019
Pagentan, 29 , - , 183 , - ," 3,347 ", - ,2018/2019
Pejawaran, 29 , - , 169 , - ," 3,363 ", - ,2018/2019
Batur, 24 , - , 161 , - ," 3,618 ", - ,2018/2019
Wanayasa, 29 , - , 194 , - ," 3,669 ", - ,2018/2019
Kalibening, 33 , - , 200 , - ," 3,790 ", - ,2018/2019
Pandanarum, 20 , - , 109 , - ," 1,758 ", - ,2018/2019
Susukan, 47 , - , 330 , 34 ," 5,224 ", - ,2019/2020
Purwareja Klampok, 30 , 3 , 185 , - ," 2,839 ", 728 ,2019/2020
Mandiraja, 45 , - , 262 ," 
 "," 4,861 ", - ,2019/2020
Purwanegara, 47 , 1 , 308 , 9 ," 5,338 ", 250 ,2019/2020
Bawang, 35 , - , 230 , - ," 3,718 ", - ,2019/2020
Banjarnegara, 29 , 6 , 223 , 48 ," 5,054 "," 1,347 ",2019/2020
Pagedongan, 22 , - , 122 ," 
 "," 2,475 ", - ,2019/2020
Sigaluh, 23 , - , 152 , - ," 2,545 ", - ,2019/2020
Madukara, 27 , 1 , 192 , 35 ," 2,967 ", 737 ,2019/2020
Banjarmangu, 29 , - , 183 , - ," 2,870 ", - ,2019/2020
Wanadadi, 22 , 1 , 163 , 9 ," 2,070 ", 256 ,2019/2020
Rakit, 32 , - , 226 , - ," 2,776 ", - ,2019/2020
Punggelan, 42 , - , 345 , - ," 5,157 ", - ,2019/2020
Karangkobar, 27 , - , 155 , - ," 2,936 ", - ,2019/2020
Pagentan, 28 , - , 195 , - ," 3,248 ", - ,2019/2020
Pejawaran, 29 , - , 163 , - ," 3,341 ", - ,2019/2020
Batur, 24 , 1 , 140 , 7 ," 3,551 ", - ,2019/2020
Wanayasa, 29 , - , 188 , - ," 3,553 ", - ,2019/2020
Kalibening, 30 , - , 194 , - ," 3,950 ", - ,2019/2020
Pandanarum, 20 , - , 122 , - ," 1,738 ", - ,2019/2020
Susukan, 47 , - , 305 , - ," 5,078 ", - ,2020/2021
Purwareja Klampok, 30 , 3 , 168 , 32 ," 2,841 ", 702 ,2020/2021
Mandiraja, 45 , - , 241 , - ," 4,624 ", - ,2020/2021
Purwanegara, 47 , 1 , 287 , 8 ," 5,256 ", 275 ,2020/2021
Bawang, 35 , - , 213 , - ," 3,709 ", - ,2020/2021
Banjarnegara, 29 , 6 , 205 , 42 ," 5,039 "," 1,336 ",2020/2021
Pagedongan, 22 , - , 111 , - ," 2,420 ", - ,2020/2021
Sigaluh, 23 , - , 139 , - ," 2,451 ", - ,2020/2021
Madukara, 27 , 1 , 180 , 33 ," 2,920 ", 733 ,2020/2021
Banjarmangu, 29 , - , 173 , - ," 2,837 ", - ,2020/2021
Wanadadi, 22 , 1 , 152 , 9 ," 2,027 ", 279 ,2020/2021
Rakit, 32 , - , 207 , - ," 2,750 ", - ,2020/2021
Punggelan, 42 , - , 320 , - ," 5,062 ", - ,2020/2021
Karangkobar, 27 , - , 144 , - ," 2,976 ", - ,2020/2021
Pagentan, 28 , - , 182 , - ," 3,221 ", - ,2020/2021
Pejawaran, 29 , - , 147 , - ," 3,377 ", - ,2020/2021
Batur, 24 , 1 , 130 , 7 ," 3,560 ", 300 ,2020/2021
