Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid  Swasta,Tahun Ajaran
Susukan, - , - , - , - , - , - ,2021/2022
Purwareja Klampok, 1 , 1 , 55 , 7 ," 1,053 ", 98 ,2021/2022
Mandiraja, - , - , - , - , - , - ,2021/2022
Purwanegara, 1 , - , 54 , - , 925 , - ,2021/2022
Bawang, 1 , - , 54 , - ," 1,055 ", - ,2021/2022
Banjarnegara, 1 , 2 , 53 , 29 ," 1,058 ", 308 ,2021/2022
Pagedongan, - , - , - , - , - , - ,2021/2022
Sigaluh, 1 , - , 33 , - , 587 , - ,2021/2022
Madukara, - , - , - , - , - , - ,2021/2022
Banjarmangu, - , - , - , - , - , - ,2021/2022
Wanadadi, 1 , - , 49 , - , 948 , - ,2021/2022
Rakit, - , - , - , - , - , - ,2021/2022
Punggelan, - , - , - , - , - , - ,2021/2022
Karangkobar, 1 , - , 56 , - ," 1,007 ", - ,2021/2022
Pagentan, - , - , - , - , - , - ,2021/2022
Pejawaran, - , - , - , - , - , - ,2021/2022
Batur, 1 , - , 24 , - , 238 , - ,2021/2022
Wanayasa, - , - , - , - , - , - ,2021/2022
Kalibening, - , 1 , - , 23 , - , 332 ,2021/2022
Pandanarum, - , - , - , - , - , - ,2021/2022
Susukan, - , - , - , - , - , - ,2022 /2023
Purwareja Klampok, 1 , 1 , 58 , 5 ," 1,070 ", 124 ,2022 /2023
Mandiraja, - , - , - , - , - , - ,2022 /2023
Purwanegara, 1 , - , 53 , - , 942 , - ,2022 /2023
Bawang, 1 , - , 56 , - ," 1,058 ", - ,2022 /2023
Banjarnegara, 1 , 2 , 57 , 27 ," 1,048 ", 295 ,2022 /2023
Pagedongan, - , - , - , - , - , - ,2022 /2023
Sigaluh, 1 , - , 34 , - , 703 , - ,2022 /2023
Madukara, - , - , - , - , - , - ,2022 /2023
Banjarmangu, - , - , - , - , - , - ,2022 /2023
Wanadadi, 1 , - , 51 , - ," 1,058 ", - ,2022 /2023
Rakit, - , - , - , - , - , - ,2022 /2023
Punggelan, - , - , - , - , - , - ,2022 /2023
Karangkobar, 1 , - , 57 , - ," 1,069 ", - ,2022 /2023
Pagentan, - , - , - , - , - , - ,2022 /2023
Pejawaran, - , - , - , - , - , - ,2022 /2023
Batur, 1 , - , 19 , - , 272 , - ,2022 /2023
Wanayasa, - , - , - , - , - , - ,2022 /2023
Kalibening, - , 1 , - , 21 , - , 339 ,2022 /2023
Pandanarum, - , - , - , - , - , - ,2022 /2023
Susukan, - , - , - , - , - , - ,2023/2024
Purwareja Klampok, 1 , 1 , 58 , 5 ," 1,076 ", 129 ,2023/2024
Mandiraja, - , - , - , - , - , - ,2023/2024
Purwanegara, 1 , - , 53 , - , 940 , - ,2023/2024
Bawang, 1 , - , 57 , - ," 1,063 ", - ,2023/2024
Banjarnegara, 1 , 2 , 58 , 22 ," 1,051 ", 364 ,2023/2024
Pagedongan, - , - , - , - , - , - ,2023/2024
Sigaluh, 1 , - , 36 , - , 782 , - ,2023/2024
Madukara, - , - , - , - , - , - ,2023/2024
Banjarmangu, - , - , - , - , - , - ,2023/2024
Wanadadi, 1 , - , 51 , - ," 1,065 ", - ,2023/2024
Rakit, - , - , - , - , - , - ,2023/2024
Punggelan, - , - , - , - , - , - ,2023/2024
Karangkobar, 1 , - , 55 , - ," 1,059 ", - ,2023/2024
Pagentan, - , - , - , - , - , - ,2023/2024
Pejawaran, - , - , - , - , - , - ,2023/2024
Batur, 1 , - , 15 , - , 348 , - ,2023/2024
Wanayasa, - , - , - , - , - , - ,2023/2024
Kalibening, - , 1 , - , 17 , - , 395 ,2023/2024
Pandanarum, - , - , - , - , - , - ,2023/2024
Susukan, - , - , - , - ," 1,677 ", 159 ,2024/2025
Purwareja Klampok, 1 , 1 , 52 , 8 ," 3,052 ", 196 ,2024/2025
Mandiraja, - , - , - , - ," 1,179 ", 289 ,2024/2025
Purwanegara, 1 , - , 47 , - ," 3,732 ", 430 ,2024/2025
Bawang, 1 , - , 53 , - ," 3,105 ", 294 ,2024/2025
Banjarnegara, 1 , 2 , 55 , 18 ," 4,958 ", 571 ,2024/2025
Pagedongan, - , - , - , - , 680 , 303 ,2024/2025
Sigaluh, 1 , - , 29 , - ," 2,984 ", 188 ,2024/2025
Madukara, - , - , - , - ," 1,662 ", 513 ,2024/2025
Banjarmangu, - , - , - , - ," 1,210 ", 265 ,2024/2025
Wanadadi, 1 , - , 51 , - ," 2,459 ", 171 ,2024/2025
Rakit, - , - , - , - ," 2,379 ", 207 ,2024/2025
Punggelan, - , - , - , - ," 1,944 ", 558 ,2024/2025
Karangkobar, 1 , - , 50 , - ," 2,071 ", 208 ,2024/2025
Pagentan, - , - , - , - , 305 , 349 ,2024/2025
Pejawaran, - , - , - , - ," 1,019 ", 240 ,2024/2025
Batur, 1 , - , 13 , - ," 1,288 ", 762 ,2024/2025
Wanayasa, - , - , - , - ," 1,985 ", 514 ,2024/2025
Kalibening, - , 1 , - , 14 , 866 ," 1,786 ",2024/2025
Pandanarum, - , - , - , - , 316 , 606 ,2024/2025
