Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid  Swasta,Tahun Ajaran
Susukan,1,0,19,0,427,0,2021/2022
Purwareja Klampok,0,4,0,149,0,"4,225",2021/2022
Mandiraja,1,0,55,0,971,0,2021/2022
Purwanegara,0,0,0,0,0,0,2021/2022
Bawang,2,0,193,0,"3,704",0,2021/2022
Banjarnegara,0,6,0,239,0,"3,909",2021/2022
Pagedongan,0,0,0,0,0,0,2021/2022
Sigaluh,0,1,0,3,0,0,2021/2022
Madukara,0,0,0,0,0,0,2021/2022
Banjarmangu,0,1,0,20,0,232,2021/2022
Wanadadi,0,1,0,23,0,460,2021/2022
Rakit,0,1,0,22,0,321,2021/2022
Punggelan,1,0,72,0,"1,444",0,2021/2022
Karangkobar,0,2,0,20,0,185,2021/2022
Pagentan,0,0,0,0,0,0,2021/2022
Pejawaran,1,1,23,11,368,149,2021/2022
Batur,0,0,0,0,0,0,2021/2022
Wanayasa,1,0,54,0,847,0,2021/2022
Kalibening,0,1,0,9,0,105,2021/2022
Pandanarum,1,0,16,0,212,0,2021/2022
Susukan,1,0,24,0,562,0,2022/2023
Purwareja Klampok,0,4,0,137,0,"3,989",2022/2023
Mandiraja,1,0,65,0,987,0,2022/2023
Purwanegara,0,0,0,0,0,0,2022/2023
Bawang,2,0,201,0,"3,706",0,2022/2023
Banjarnegara,0,6,0,216,0,"3,956",2022/2023
Pagedongan,0,0,0,0,0,0,2022/2023
Sigaluh,0,1,0,4,0,24,2022/2023
Madukara,0,0,0,0,0,0,2022/2023
Banjarmangu,0,1,0,21,0,244,2022/2023
Wanadadi,0,1,0,26,0,507,2022/2023
Rakit,0,1,0,23,0,360,2022/2023
Punggelan,1,0,79,0,"1,448",0,2022/2023
Karangkobar,0,2,0,23,0,331,2022/2023
Pagentan,0,0,0,0,0,0,2022/2023
Pejawaran,1,1,32,11,427,144,2022/2023
Batur,0,0,0,0,0,0,2022/2023
Wanayasa,1,0,47,0,898,0,2022/2023
Kalibening,0,1,0,9,0,140,2022/2023
Pandanarum,1,0,22,0,249,0,2022/2023
Susukan,1,0,28,0,662,0,2023/2024
Purwareja Klampok,0,4,0,144,0,"4,254",2023/2024
Mandiraja,1,0,62,0,"1,042",0,2023/2024
Purwanegara,0,0,0,0,0,0,2023/2024
Bawang,2,0,199,0,"3,689",0,2023/2024
Banjarnegara,0,6,0,222,0,"4,137",2023/2024
Pagedongan,0,0,0,0,0,0,2023/2024
Sigaluh,0,1,0,4,0,12,2023/2024
Madukara,0,0,0,0,0,0,2023/2024
Banjarmangu,0,1,0,19,0,274,2023/2024
Wanadadi,0,1,0,25,0,659,2023/2024
Rakit,0,1,0,23,0,377,2023/2024
Punggelan,1,0,78,0,"1,466",0,2023/2024
Karangkobar,0,2,0,29,0,449,2023/2024
Pagentan,1,0,3,0,142,0,2023/2024
Pejawaran,1,1,33,10,482,168,2023/2024
Batur,0,0,0,0,0,0,2023/2024
Wanayasa,1,0,47,0,926,0,2023/2024
Kalibening,0,1,0,7,0,139,2023/2024
Pandanarum,1,0,23,0,317,0,2023/2024
Susukan,1,0,27,0,"1,860","2,077",2024/2025
Purwareja Klampok,0,4,0,141,761,"1,428",2024/2025
Mandiraja,1,0,60,0,"2,885","2,347",2024/2025
Purwanegara,0,0,0,0,"2,117","1,650",2024/2025
Bawang,2,0,180,0,"3,490",759,2024/2025
Banjarnegara,0,6,0,204,"2,387","1,608",2024/2025
Pagedongan,0,0,0,0,607,"1,097",2024/2025
Sigaluh,0,1,0,2,935,633,2024/2025
Madukara,0,0,0,0,988,"1,406",2024/2025
Banjarmangu,0,1,0,17,649,"1,867",2024/2025
Wanadadi,0,1,0,26,919,854,2024/2025
Rakit,0,1,0,17,"1,381","1,145",2024/2025
Punggelan,1,0,73,0,"4,418","1,389",2024/2025
Karangkobar,0,2,0,24,502,"1,616",2024/2025
Pagentan,1,0,6,0,853,673,2024/2025
Pejawaran,1,1,28,11,978,666,2024/2025
Batur,0,0,0,0,180,651,2024/2025
Wanayasa,1,0,46,0,895,"1,404",2024/2025
Kalibening,0,1,0,60,809,588,2024/2025
Pandanarum,1,0,17,0,695,445,2024/2025
