Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid Swasta,Tahun Ajaran
Susukan, 4 , 1 , 115 , 6 ," 2,177 ", 71 ,2018/2019
Purwareja Klampok, 3 , 3 , 101 , 33 ," 1,880 ", 428 ,2018/2019
Mandiraja, 4 , 2 , 127 , 16 ," 2,279 ", 140 ,2018/2019
Purwanegara, 6 , - , 126 , - ," 1,948 ", - ,2018/2019
Bawang, 5 , - , 132 , - ," 2,222 ", - ,2018/2019
Banjarnegara, 5 , 5 , 157 , 49 ," 2,659 ", 575 ,2018/2019
Pagedongan, 3 , 1 , 43 , 9 , 706 , 97 ,2018/2019
Sigaluh, 2 , - , 32 , - , 425 , - ,2018/2019
Madukara, 3 , 2 , 67 , 29 , 963 , 306 ,2018/2019
Banjarmangu, 2 , 2 , 49 , 16 , 969 , 223 ,2018/2019
Wanadadi, 2 , 2 , 70 , 28 ," 1,170 ", 391 ,2018/2019
Rakit, 2 , 1 , 78 , 9 ," 1,060 ", 106 ,2018/2019
Punggelan, 6 , 1 , 120 , 10 ," 2,014 ", 181 ,2018/2019
Karangkobar, 3 , 1 , 52 , 16 , 991 , 236 ,2018/2019
Pagentan, 5 , - , 77 , - ," 1,268 ", - ,2018/2019
Pejawaran, 4 , 1 , 48 , 11 , 833 , 192 ,2018/2019
Batur, 2 , - , 32 , - , 531 , - ,2018/2019
Wanayasa, 4 , - , 56 , - , 776 , - ,2018/2019
Kalibening, 6 , - , 85 , - ," 1,524 ", - ,2018/2019
Pandanarum, 4 , - , 37 , - , 711 , - ,2018/2019
Susukan, 4 , 1 , 114 , 4 ," 1,946 ", 97 ,2019/2020
Purwareja Klampok, 3 , 3 , 101 , 32 ," 1,745 ", 409 ,2019/2020
Mandiraja, 4 , 2 , 130 , 14 ," 2,178 ", 153 ,2019/2020
Purwanegara, 6 , - , 123 , - ," 2,003 ", - ,2019/2020
Bawang, 5 , - , 136 , - ," 2,117 ", - ,2019/2020
Banjarnegara, 5 , 5 , 156 , 42 ," 2,577 ", 420 ,2019/2020
Pagedongan, 3 , 1 , 46 , 9 , 666 , 128 ,2019/2020
Sigaluh, 2 , - , 31 , - , 516 , - ,2019/2020
Madukara, 3 , 2 , 69 , 26 ," 1,021 ", 340 ,2019/2020
Banjarmangu, 2 , 2 , 52 , 11 , 924 , 202 ,2019/2020
Wanadadi, 2 , 2 , 64 , 27 ," 1,144 ", 358 ,2019/2020
Rakit, 2 , 1 , 75 , 9 ," 1,062 ", 75 ,2019/2020
Punggelan, 6 , 1 , 115 , 10 ," 1,969 ", 195 ,2019/2020
Karangkobar, 3 , 1 , 46 , 13 , 944 , 259 ,2019/2020
Pagentan, 5 , - , 66 , - ," 1,177 ", - ,2019/2020
Pejawaran, 4 , 1 , 47 , 10 , 738 , 216 ,2019/2020
Batur, 2 , - , 26 , - , 413 , - ,2019/2020
Wanayasa, 4 , - , 51 , - , 807 , - ,2019/2020
Kalibening, 6 , 1 , 85 , 3 ," 1,512 ", 142 ,2019/2020
Pandanarum, 4 , - , 33 , - , 649 , - ,2019/2020
Susukan, 4 , 1 , 104 , 3 ," 1,897 ", 89 ,2020/2021
Purwareja Klampok, 3 , 3 , 92 , 27 ," 1,727 ", 400 ,2020/2021
Mandiraja, 4 , 2 , 122 , 9 ," 2,198 ", 146 ,2020/2021
Purwanegara, 6 , - , 113 , - ," 2,114 ", - ,2020/2021
Bawang, 5 , - , 129 , - ," 2,128 ", - ,2020/2021
Banjarnegara, 5 , 5 , 150 , 36 ," 2,567 ", 417 ,2020/2021
Pagedongan, 3 , 1 , 48 , 8 , 697 , 135 ,2020/2021
Sigaluh, 2 , - , 30 , - , 568 , - ,2020/2021
Madukara, 3 , 2 , 60 , 15 ," 1,079 ", 342 ,2020/2021
Banjarmangu, 2 , 2 , 49 , 10 , 926 , 198 ,2020/2021
Wanadadi, 2 , 2 , 64 , 21 ," 1,191 ", 369 ,2020/2021
Rakit, 2 , 1 , 66 , 4 ," 1,103 ", 77 ,2020/2021
Punggelan, 6 , 1 , 107 , 6 ," 2,045 ", 197 ,2020/2021
Karangkobar, 3 , 1 , 48 , 11 , 991 , 307 ,2020/2021
Pagentan, 5 , - , 65 , - ," 1,219 ", - ,2020/2021
Pejawaran, 4 , 1 , 43 , 9 , 762 , 241 ,2020/2021
Batur, 2 , - , 25 , - , 389 , - ,2020/2021
Wanayasa, 4 , - , 49 , - , 840 , - ,2020/2021
Kalibening, 6 , 1 , 83 , 3 ," 1,469 ", 156 ,2020/2021
Pandanarum, 4 , - , 31 , - , 680 , - ,2020/2021
Susukan, 4 , 1 , 115 , 6 ," 1,841 ", 77 ,2021/2022
Purwareja Klampok, 3 , 3 , 88 , 37 ," 1,743 ", 360 ,2021/2022
Mandiraja, 4 , 2 , 121 , 20 ," 2,235 ", 172 ,2021/2022
Purwanegara, 6 , - , 123 , - ," 2,185 ", - ,2021/2022
Bawang, 5 , - , 139 , - ," 2,192 ", - ,2021/2022
Banjarnegara, 5 , 5 , 156 , 50 ," 2,513 ", 465 ,2021/2022
Pagedongan, 3 , 1 , 48 , 10 , 693 , 119 ,2021/2022
Sigaluh, 2 , - , 36 , - , 541 , - ,2021/2022
Madukara, 3 , 2 , 62 , 16 ," 1,133 ", 392 ,2021/2022
Banjarmangu, 2 , 2 , 54 , 20 , 923 , 175 ,2021/2022
Wanadadi, 2 , 2 , 64 , 28 ," 1,433 ", 386 ,2021/2022
Rakit, 2 , 1 , 67 , 11 ," 1,125 ", 117 ,2021/2022
Punggelan, 6 , 1 , 119 , 12 ," 2,081 ", 181 ,2021/2022
Karangkobar, 3 , 1 , 53 , 14 , 948 , 332 ,2021/2022
Pagentan, 5 , - , 79 , - ," 1,089 ", - ,2021/2022
Pejawaran, 4 , 1 , 57 , 19 , 705 , 225 ,2021/2022
Batur, 2 , - , 29 , - , 360 , - ,2021/2022
Wanayasa, 4 , - , 53 , - , 765 , - ,2021/2022
Kalibening, 6 , 1 , 94 , 3 ," 1,520 ", 212 ,2021/2022
Pandanarum, 4 , - , 43 , - , 759 , - ,2021/2022
Susukan, 4 , 1 , 112 , 6 ," 1,912 ", 70 ,2022/2023
Purwareja Klampok, 3 , 3 , 84 , 28 ," 1,838 ", 339 ,2022/2023
Mandiraja, 4 , 2 , 114 , 18 ," 2,270 ", 98 ,2022/2023
Purwanegara, 6 , - , 116 , - ," 2,288 ", - ,2022/2023
Bawang, 5 , - , 123 , - ," 2,285 ", - ,2022/2023
Banjarnegara, 5 , 5 , 149 , 39 ," 2,534 ", 449 ,2022/2023
Pagedongan, 3 , 1 , 47 , 6 , 648 , 99 ,2022/2023
Sigaluh, 2 , - , 32 , - , 526 , - ,2022/2023
Madukara, 3 , 2 , 61 , 16 ," 1,178 ", 343 ,2022/2023
Banjarmangu, 2 , 2 , 53 , 14 ," 1,019 ", 158 ,2022/2023
Wanadadi, 2 , 2 , 62 , 25 ," 1,435 ", 383 ,2022/2023
Rakit, 2 , 1 , 66 , 8 ," 1,127 ", 152 ,2022/2023
Punggelan, 6 , 1 , 128 , 8 ," 2,167 ", 147 ,2022/2023
Karangkobar, 3 , 1 , 56 , 14 , 987 , 356 ,2022/2023
Pagentan, 5 , - , 73 , - ," 1,151 ", - ,2022/2023
Pejawaran, 4 , 1 , 50 , 11 , 679 , 257 ,2022/2023
Batur, 2 , - , 30 , - , 386 , - ,2022/2023
Wanayasa, 4 , - , 52 , - , 778 , - ,2022/2023
Kalibening, 6 , 1 , 83 , 4 ," 1,430 ", 186 ,2022/2023
Pandanarum, 4 , - , 41 , - , 727 , - ,2022/2023
Susukan, 4 , 1 , 102 , 6 ," 1,933 ", 149 ,2023/2024
Purwareja Klampok, 3 , 3 , 80 , 28 ," 1,419 ", 185 ,2023/2024
