Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid  Swasta,Tahun Ajaran
Susukan, - , 22 , - , 61 , - , 627 ,2018/2019
Purwareja Klampok, - , 19 , - , 65 , - , 697 ,2018/2019
Mandiraja, 1 , 21 , 4 , 54 , 42 , 568 ,2018/2019
Purwanegara, - , 25 , - , 59 , - , 898 ,2018/2019
Bawang, 1 , 13 , 5 , 41 , 61 , 417 ,2018/2019
Banjarnegara, - , 18 , - , 94 , - ," 1,119 ",2018/2019
Pagedongan, - , 9 , - , 33 , - , 246 ,2018/2019
Sigaluh, - , 13 , - , 62 , - , 467 ,2018/2019
Madukara, 1 , 19 , 3 , 35 , 39 , 541 ,2018/2019
Banjarmangu, - , 18 , - , 36 , - , 470 ,2018/2019
Wanadadi, 1 , 11 , 2 , 70 , 65 , 342 ,2018/2019
Rakit, - , 34 , - , 76 , - , 825 ,2018/2019
Punggelan, - , 27 , - , 28 , - , 905 ,2018/2019
Karangkobar, - , 9 , - , 14 , - , 375 ,2018/2019
Pagentan, - , 5 , - , 12 , - , 270 ,2018/2019
Pejawaran, - , 6 , - , 12 , - , 270 ,2018/2019
Batur, - , 4 , - , 43 , - , 239 ,2018/2019
Wanayasa, - , 14 , - , 28 , - , 677 ,2018/2019
Kalibening, - , 8 , - , 14 , - , 378 ,2018/2019
Pandanarum, - , 7 , - , 18 , - , 165 ,2018/2019
Susukan, - , 22 , - , 49 , - , 584 ,2019/2020
Purwareja Klampok, - , 19 , - , 63 , - , 774 ,2019/2020
Mandiraja, 1 , 21 , 4 , 55 , 66 , 606 ,2019/2020
Purwanegara, - , 26 , - , 51 , - , 863 ,2019/2020
Bawang, 1 , 13 , 6 , 45 , 66 , 414 ,2019/2020
Banjarnegara, - , 17 , - , 88 , - ," 1,066 ",2019/2020
Pagedongan, - , 9 , - , 19 , - , 281 ,2019/2020
Sigaluh, - , 13 , - , 35 , - , 437 ,2019/2020
Madukara, 1 , 20 , 2 , 62 , 31 , 582 ,2019/2020
Banjarmangu, - , 18 , - , 40 , - , 404 ,2019/2020
Wanadadi, 1 , 10 , 6 , 29 , 67 , 281 ,2019/2020
Rakit, - , 34 , - , 59 , - , 793 ,2019/2020
Punggelan, - , 27 , - , 74 , - , 932 ,2019/2020
Karangkobar, - , 9 , - , 30 , - , 450 ,2019/2020
Pagentan, - , 5 , - , 15 , - , 234 ,2019/2020
Pejawaran, - , 6 , - , 18 , - , 314 ,2019/2020
Batur, - , 5 , - , 17 , - , 282 ,2019/2020
Wanayasa, - , 14 , - , 41 , - , 684 ,2019/2020
Kalibening, - , 8 , - , 24 , - , 338 ,2019/2020
Pandanarum, - , 7 , - , 14 , - , 217 ,2019/2020
Susukan, - , 22 , - , 22 , - , 617 ,2020/2021
Purwareja Klampok, - , 19 , - , 30 , - , 746 ,2020/2021
Mandiraja, 1 , 21 , 1 , 23 , 72 , 630 ,2020/2021
Purwanegara, - , 26 , - , 23 , - , 887 ,2020/2021
Bawang, 1 , 13 , 6 , 17 , 54 , 382 ,2020/2021
Banjarnegara, - , 17 , - , 54 , - ," 1,010 ",2020/2021
Pagedongan, - , 9 , - , 7 , - , 292 ,2020/2021
Sigaluh, - , 13 , - , 21 , - , 420 ,2020/2021
Madukara, 1 , 20 , 3 , 29 , 32 , 541 ,2020/2021
Banjarmangu, - , 18 , - , 17 , - , 432 ,2020/2021
Wanadadi, 1 , 10 , 8 , 17 , 67 , 279 ,2020/2021
Rakit, - , 34 , - , 21 , - , 826 ,2020/2021
Punggelan, - , 27 , - , 38 , - , 935 ,2020/2021
Karangkobar, - , 9 , - , 12 , - , 461 ,2020/2021
Pagentan, - , 5 , - , 8 , - , 266 ,2020/2021
Pejawaran, - , 6 , - , 3 , - , 316 ,2020/2021
Batur, - , 5 , - , 7 , - , 258 ,2020/2021
Wanayasa, - , 14 , - , 22 , - , 651 ,2020/2021
Kalibening, - , 8 , - , 5 , - , 344 ,2020/2021
Pandanarum, - , 7 , - , 9 , - , 236 ,2020/2021
Susukan, - , 22 , - , 24 , - , 605 ,2021/2022
Purwareja Klampok, - , 18 , - , 41 , - , 616 ,2021/2022
Mandiraja, 1 , 21 , 7 , 28 , 82 , 677 ,2021/2022
Purwanegara, - , 26 , - , 22 , - , 814 ,2021/2022
Bawang, 1 , 13 , 4 , 22 , 52 , 346 ,2021/2022
Banjarnegara, - , 17 , - , 66 , - , 866 ,2021/2022
