Bulan,Karya Umum,Filsafat & Psikologi,Agama,Ilmu Sosial,Bahasa,Ilmu Murni,Ilmu Terapan & Teknologi,OR & Kesenian,Sastra,Sejarah & Geologi,Fiksi,Majalah,Tahun
Januari,33 ,46 ,196 ,179 ,23 ,60 ,114 ,43 ,917 ,67 ,264 ,0 ,2018
Februari,18 ,33 ,144 ,116 ,12 ,66 ,74 ,17 ,806 ,30 ,336 ,0 ,2018
Maret,27 ,20,110 ,90 ,11 ,35 ,54 ,9 ,616 ,31 ,454 ,0 ,2018
April,20 ,43 ,106 ,111 ,9 ,44 ,43 ,18 ,616 ,23 ,256 ,0 ,2018
Mei,13 ,36 ,104 ,94 ,13 ,25 ,57 ,12 ,483 ,14 ,211 ,0 ,2018
Juni,8 ,14 ,71 ,59 ,7 ,18 ,18 ,2 ,254 ,11 ,110 ,0 ,2018
Juli,22 ,45 ,96 ,110 ,14 ,33 ,54 ,22 ,621 ,21 ,92 ,0 ,2018
Agustus,14 ,46 ,79 ,70 ,12 ,23 ,57 ,19 ,699 ,30 ,113 ,0 ,2018
September,5 ,43 ,92 ,131 ,30 ,27 ,57 ,12 ,844 ,23 ,131 ,0 ,2018
Oktober,26 ,41 ,139 ,164 ,19 ,42 ,56 ,11 ,879 ,19 ,141 ,0 ,2018
November,33 ,55 ,121 ,120 ,26 ,53 ,65 ,10 ,962 ,25 ,23 ,0 ,2018
Desember,21 ,45 ,126 ,92 ,27 ,36 ,47 ,21 ,938 ,19 ,201 ,0 ,2018
Januari, 27 , 74 , 125 , 72 , 7 , 46 , 104 , 24 ," 1,069 ", 82 , 167 , 11 ,2019
Februari, 16 , 48 , 129 , 97 , 13 , 61 , 80 , 16 ," 1,010 ", 42 , 176 , - ,2019
Maret, 22 , 49 , 121 , 93 , 15 , 68 , 60 , 13 , 945 , 101 , 148 , - ,2019
April, 16 , 32 , 109 , 58 , 22 , 17 , 75 , 10 , 743 , 17 , 132 , - ,2019
Mei, 22 , 35 , 70 , 51 , 11 , 20 , 66 , 9 , 582 , 23 , 101 , - ,2019
Juni, 15 , 27 , 65 , 36 , 11 , 25 , 51 , 7 , 366 , 12 , 79 , - ,2019
Juli, 27 , 42 , 82 , 55 , 21 , 34 , 58 , 12 , 528 , 38 , 56 , - ,2019
Agustus, 24 , 31 , 67 , 63 , 12 , 21 , 32 , 7 , 455 , 19 , 118 , - ,2019
September, 14 , 44 , 95 , 86 , 16 , 40 , 43 , 10 , 405 , 10 , 101 , - ,2019
Oktober, 16 , 43 , 106 , 99 , 14 , 38 , 65 , 13 , 591 , 29 , 184 , - ,2019
November, 12 , 34 , 88 , 68 , 18 , 29 , 59 , 9 , 435 , 23 , 142 , - ,2019
Desember, 17 , 52 , 129 , 71 , 17 , 23 , 105 , 33 , 868 , 12 , 119 , - ,2019
Januari, 13 , 13 , 13 , 13 , 13 , 13 , 13 , 9 , 612 , 50 , 93 , - ,2020
Februari, 19 , 46 , 101 , 84 , 20 , 39 , 55 , 17 , 763 , 52 , 133 , - ,2020
Maret, 10 , 33 , 67 , 64 , 8 , 31 , 32 , 17 , 455 , 17 , 90 , - ,2020
April, - , - , - , - , - , - , - , - , - , - , - , - ,2020
Mei, - , - , - , - , - , - , - , - , - , - , - , - ,2020
Juni, 1 , - , 11 , 12 , 4 , 2 , 5 , 3 , 51 , 2 , 6 , - ,2020
Juli, 12 , 30 , 34 , 38 , 7 , 12 , 15 , - , 137 , 10 , 22 , - ,2020
Agustus, 8 , 24 , 44 , 39 , 11 , 25 , 46 , 6 , 177 , 4 , 26 , - ,2020
September, 17 , 17 , 48 , 68 , 23 , 13 , 52 , 10 , 173 , 12 , 51 , - ,2020
Oktober, 9 , 31 , 53 , 84 , 22 , 25 , 75 , 11 , 218 , 11 , 49 , - ,2020
November, 9 , 17 , 46 , 65 , 23 , 12 , 50 , 22 , 217 , 6 , 60 , - ,2020
Desember, 16 , 18 , 21 , 72 , 12 , 8 , 22 , 7 , 110 , 8 , 13 , - ,2020
Januari, 15 , 54 , 61 , 78 , 22 , 37 , 160 , 13 , 236 , 21 , 26 , - ,2021
Februari, 39 , 48 , 74 , 94 , 29 , 46 , 106 , 16 , 263 , 19 , 37 , - ,2021
Maret, 26 , 45 , 64 , 64 , 16 , 38 , 64 , 17 , 266 , 19 , 27 , - ,2021
April, 14 , 37 , 63 , 41 , 22 , 20 , 30 , 10 , 178 , 22 , 32 , - ,2021
Mei, 45 , 74 , 50 , 52 , 51 , 48 , 66 , 40 , 184 , 42 , 79 , 24 ,2021
Juni, 47 , 85 , 79 , 85 , 50 , 71 , 87 , 38 , 268 , 62 , 50 , - ,2021
Juli, 6 , 35 , 33 , 54 , 8 , 18 , 45 , 9 , 150 , 11 , 18 , - ,2021
Agustus, 53 , 53 , 96 , 93 , 66 , 35 , 73 , 45 , 181 , 46 , 48 , 9 ,2021
September, 29 , 81 , 103 , 105 , 42 , 45 , 71 , 40 , 305 , 61 , 68 , 28 ,2021
Oktober, 48 , 79 , 95 , 124 , 61 , 71 , 76 , 64 , 353 , 54 , 109 , - ,2021
November, 33 , 49 , 144 , 120 , 32 , 52 , 66 , 29 , 373 , 58 , 107 , - ,2021
Desember, 11 , 55 , 73 , 43 , 21 , 31 , 53 , 7 , 257 , 15 , 49 , - ,2021
Januari, 25 , 56 , 84 , 78 , 20 , 57 , 69 , 27 , 359 , 55 , 70 , - ,2022
Februari, 54 , 82 , 155 , 77 , 23 , 45 , 76 , 60 , 405 , 53 , 131 , 43 ,2022
Maret, 58 , 118 , 268 , 96 , 81 , 62 , 141 , 71 , 532 , 64 , 66 , - ,2022
April, 27 , 80 , 118 , 61 , 36 , 32 , 66 , 32 , 357 , 60 , 92 , 41 ,2022
Mei, 34 , 62 , 100 , 75 , 37 , 37 , 74 , 37 , 288 , 38 , 40 , - ,2022
Juni, 43 , 92 , 157 , 57 , 15 , 38 , 89 , 35 , 448 , 75 , 126 , 43 ,2022
Juli, 17 , 75 , 69 , 69 , 20 , 25 , 54 , 26 , 270 , 17 , 97 , - ,2022
Agustus, 3 , 77 , 140 , 72 , 7 , 21 , 79 , 10 , 265 , 43 , 38 , 9 ,2022
September, 4 , 79 , 100 , 54 , 21 , 40 , 78 , 31 , 386 , 18 , 85 , 19 ,2022
Oktober, 5 , 50 , 79 , 36 , 15 , 14 , 73 , 10 , 253 , 20 , 44 , 3 ,2022
November, 7 , 70 , 108 , 31 , 14 , 15 , 49 , 10 , 332 , 29 , 26 , - ,2022
Desember, 7 , 65 , 84 , 30 , 13 , 7 , 59 , 19 , 281 , 31 , 111 , 39 ,2022
Januari, 7 , 74 , 122 , 51 , 22 , 45 , 80 , 12 , 299 , 63 , 66 , 29 ,2023
Februari, 5 , 121 , 115 , 58 , 33 , 24 , 56 , 40 , 288 , 79 , 92 , 30 ,2023
Maret, 20 , 121 , 152 , 56 , 16 , 17 , 56 , 38 , 399 , 56 , 100 , - ,2023
April, 25 , 48 , 61 , 41 , 2 , 3 , 54 , 20 , 213 , 39 , 39 , - ,2023
Mei, 5 , 69 , 58 , 46 , 8 , 15 , 43 , 8 , 251 , 23 , 59 , 21 ,2023
Juni, 5 , 64 , 29 , 80 , 15 , 15 , 69 , 6 , 464 , 47 , 26 , 20 ,2023
Juli, 6 , 71 , 57 , 38 , 23 , 5 , 43 , 9 , 411 , 37 , 80 , - ,2023
Agustus, 56 , 101 , 160 , 67 , 65 , 55 , 162 , 93 , 408 , 113 , 151 , 49 ,2023
September, 84 , 145 , 284 , 80 , 82 , 43 , 205 , 69 , 2 , 134 , 299 , 30 ,2023
Oktober, 9 , 94 , 81 , 53 , 11 , 12 , 64 , 28 , 420 , 61 , 77 , 21 ,2023
November, 9 , 94 , 81 , 53 , 11 , 13 , 64 , 28 , 420 , 61 , 77 , 21 ,2023
Desember, 11 , 55 , 73 , 43 , 21 , 31 , 53 , 7 , 257 , 15 , 49 , - ,2023
Januari, 41 , 145 , 149 , 149 , 89 , 91 , 120 , 31 ," 1,314 ", 124 , 76 , - ,2024
Februari, 7 , 135 , 161 , 56 , 50 , 6 , 119 , 42 , 715 , 157 , 99 , 9 ,2024
Maret, 27 , 131 , 211 , 34 , 33 , 20 , 144 , 66 , 548 , 159 , 142 , - ,2024
April, 3 , 33 , 43 , 42 , 14 , 30 , 54 , 28 , 546 , 49 , 231 , 45 ,2024
Mei, 29 , 70 , 129 , 95 , 74 , 72 , 95 , 38 , 478 , 161 , 176 , - ,2024
Juni, 43 , 53 , 77 , 39 , 52 , 37 , 69 , 48 , 184 , 90 , 115 , 11 ,2024
Juli, 17 , 70 , 124 , 55 , 41 , 49 , 72 , 27 , 589 , 90 , 532 , - ,2024
Agustus, 69 , 141 , 215 , 66 , 78 , 59 , 182 , 105 , 573 , 161 , 214 , 6 ,2024
September, 117 , 88 , 129 , 97 , 49 , 58 , 66 , 58 , 383 , 139 , 288 , 19 ,2024
Oktober, 27 , 120 , 91 , 62 , 29 , 37 , 91 , 36 , 471 , 78 , 471 , 11 ,2024
November, 12 , 64 , 86 , 45 , 5 , 16 , 71 , 23 , 812 , 54 , 32 , - ,2024
Desember, 9 , 53 , 82 , 45 , 28 , 37 , 44 , 13 , 426 , 50 , 638 , 3 ,2024
