Bulan ,Pelajar Laki Laki,Pelajar Perempuan,Mahasiswa Laki Laki,Mahasiswa Perempuan,Karyawan/PNS Laki laki,Karyawan/PNS Perempuan,Umum Laki laki,Umum Perempuan,Tahun
Januari, 766 ," 2,219 ", 56 , 145 , 32 , 27 , 129 , 224 ,2018
Februari," 1,611 "," 2,571 ", 108 , 217 , 66 , 68 , 419 , 829 ,2018
Maret," 1,933 "," 3,213 ", 86 , 245 , 30 , 83 , 217 , 297 ,2018
April, 853 ," 1,715 ", 51 , 102 , 111 , 99 , 186 , 314 ,2018
Mei, 466 ," 1,124 ", 64 , 106 , 45 , 56 , 129 , 250 ,2018
Juni, 301 , 497 , 26 , 64 , 8 , 7 , 79 , 94 ,2018
Juli, 511 ," 1,040 ", 55 , 137 , 61 , 60 , 98 , 198 ,2018
Agustus, 688 ," 1,700 ", 45 , 109 , 57 , 65 , 123 , 175 ,2018
September, 445 ," 1,329 ", 63 , 155 , 86 , 149 , 93 , 151 ,2018
Oktober, 651 ," 1,744 ", 71 , 170 , 167 , 141 , 85 , 113 ,2018
November, 216 , 925 , 63 , 99 , 81 , 95 , 77 , 108 ,2018
Desember," 1,353 "," 2,599 ", 751 ," 1,521 ", 285 , 383 , 500 , 704 ,2018
Januari, 344 ," 1,124 ", 69 , 168 , 143 , 125 , 115 , 98 ,2019
Februari, 537 ," 1,599 ", 58 , 180 , 122 , 119 , 84 , 99 ,2019
Maret, 821 ," 2,057 ", 70 , 108 , 119 , 154 , 104 , 166 ,2019
April, 437 ," 1,318 ", 55 , 107 , 124 , 195 , 169 , 225 ,2019
Mei, 239 , 916 , 58 , 112 , 77 , 82 , 109 , 148 ,2019
Juni, 187 , 583 , 56 , 104 , 61 , 67 , 82 , 92 ,2019
Juli," 1,713 "," 3,297 ", 191 , 352 , 81 , 94 , 508 , 694 ,2019
Agustus, 356 , 950 , 49 , 95 , 183 , 150 , 106 , 81 ,2019
September," 1,355 "," 2,532 ", 34 , 138 , 128 , 135 , 219 , 322 ,2019
Oktober," 3,482 "," 5,064 ", 204 , 418 , 189 , 236 , 370 , 507 ,2019
November, 425 , 797 , 37 , 133 , 96 , 90 , 66 , 112 ,2019
Desember, 441 , 852 , 47 , 169 , 94 , 97 , 65 , 148 ,2019
Januari, 477 , 983 , 35 , 134 , 94 , 122 , 181 , 377 ,2020
Februari, 597 ," 1,322 ", 37 , 148 , 110 , 189 , 177 , 552 ,2020
Maret, 461 , 823 , 36 , 69 , 70 , 75 , 57 , 253 ,2020
April, - , - , - , - , - , - , - , - ,2020
Mei, - , - , - , - , - , - , - , - ,2020
Juni, 17 , 52 , 9 , 19 , 6 , 13 , 11 , 19 ,2020
Juli, 57 , 140 , 14 , 87 , 18 , 35 , 42 , 51 ,2020
Agustus, 60 , 130 , 22 , 81 , 29 , 28 , 33 , 43 ,2020
September, 92 , 240 , 24 , 111 , 30 , - , 43 , 45 ,2020
Oktober, 119 , 337 , 63 , 138 , 45 , 55 , 91 , 72 ,2020
November, 99 , 312 , 70 , 204 , 40 , 73 , 37 , 47 ,2020
Desember, 28 , 150 , 41 , 148 , 20 , 23 , 16 , 25 ,2020
Januari, 96 , 324 , 61 , 169 , 58 , 78 , 37 , 69 ,2021
Februari, 98 , 400 , 70 , 257 , 60 , 85 , 55 , 87 ,2021
Maret, 108 , 519 , 73 , 259 , 63 , 77 , 46 , 92 ,2021
April, 68 , 338 , 52 , 178 , 41 , 42 , 37 , 59 ,2021
Mei, 75 , 223 , 78 , 107 , 44 , 55 , 399 , 62 ,2021
Juni, 93 , 546 , 69 , 198 , 65 , 62 , 245 , 72 ,2021
Juli, 52 , 249 , 44 , 91 , 22 , 44 , 38 , 22 ,2021
Agustus, 57 , 224 , 40 , 119 , 32 , 41 , 249 , 37 ,2021
September, 120 , 316 , 55 , 215 , 45 , 49 , 287 , 64 ,2021
Oktober, 110 , 368 , 50 , 186 , 35 , 29 , 225 , 323 ,2021
November, 111 , 412 , 78 , 251 , 51 , 93 , 263 , 85 ,2021
Desember, 89 , 348 , 66 , 167 , 25 , 50 , 42 , 63 ,2021
Januari, 154 , 508 , 64 , 165 , 75 , 66 , 418 , 355 ,2022
Februari, 187 , 475 , 34 , 104 , 44 , 53 , 552 , 298 ,2022
Maret, 360 , 791 , 44 , 180 , 46 , 76 , 437 , 63 ,2022
April, 119 , 400 , 44 , 86 , 45 , 58 , 367 , 64 ,2022
Mei, 183 , 276 , 25 , 127 , 26 , 33 , 43 , 42 ,2022
Juni, 298 , 367 , 49 , 139 , 50 , 70 , 558 , 239 ,2022
Juli, 191 , 448 , 47 , 192 , 50 , 123 , 413 , 76 ,2022
Agustus, 316 , 713 , 43 , 181 , 71 , 90 , 472 , 97 ,2022
September," 1,169 "," 1,862 ", 34 , 152 , 82 , 145 , 103 , 85 ,2022
Oktober, 142 , 396 , 32 , 175 , 52 , 77 , 153 , 63 ,2022
November, 289 , 537 , 41 , 172 , 55 , 113 , 245 , 52 ,2022
Desember, 201 , 316 , 20 , 80 , 44 , 70 , 152 , 48 ,2022
Januari, 76 , 285 , 28 , 153 , 30 , 45 , 264 , 186 ,2023
Februari, 85 , 337 , 26 , 84 , 32 , 31 , 240 , 59 ,2023
Maret, 121 , 447 , 38 , 148 , 33 , 81 , 227 , 60 ,2023
April, 62 , 263 , 19 , 79 , 31 , 57 , 80 , 30 ,2023
Mei, 536 , 1 , 39 , 134 , 35 , 53 , 142 , 53 ,2023
Juni, 111 , 269 , 20 , 59 , 24 , 45 , 114 , 66 ,2023
Juli, 541 , 850 , 38 , 106 , 20 , 49 , 145 , 64 ,2023
Agustus, 528 , 937 , 101 , 176 , 32 , 77 , 615 , 516 ,2023
September, 903 , 1 , 27 , 124 , 16 , 59 , 129 , 57 ,2023
Oktober, 67 , 112 , 11 , 32 , - , - , - , 4 ,2023
November, 91 , 377 , 21 , 188 , 43 , 34 , 27 , 51 ,2023
Desember, 252 , 464 , 45 , 90 , 36 , 53 , 343 , 214 ,2023
Januari, 823 ," 1,986 ", 113 , 307 , 183 , 179 , 436 , 485 ,2024
Februari," 1,999 "," 2,869 ", 133 , 313 , 170 , 267 , 216 , 318 ,2024
Maret, 612 ," 1,981 ", 66 , 191 , 150 , 88 , 421 , 344 ,2024
April, 351 , 841 , 158 , 197 , 115 , 133 , 325 , 276 ,2024
Mei, 433 ," 1,018 ", 130 , 176 , 183 , 280 , 444 , 468 ,2024
Juni, 569 , 816 , 256 , 340 , 224 , 313 , 850 , 467 ,2024
Juli, 410 ," 1,007 ", 279 , 316 , 204 , 236 , 680 , 620 ,2024
Agustus, 521 ," 1,053 ", 87 , 242 , 143 , 97 , 405 , 407 ,2024
